datagouvid,code_insee
58651df488ee381b723f4e5d,77288
58651e4c88ee380f033f4e5f,77288
587cebc488ee3805cb9b81a4,60057
588bc068c751df06afae0a65,47138
588f0a98c751df12c6ae0a66,22171
58adb475c751df4ea673d5f2,47157
58d27ed688ee383022f3994b,31157
58d2805b88ee3830ab40dd02,11076
58d53c4688ee380aeea5e932,64102
58da32bac751df47f26f37b1,29220
58ecb30388ee3855493567c6,92050
58f5d64788ee3847b91e4f32,83098
5909d3eac751df310749b8d2,94067
5912ddcac751df1c0de5387b,79191
593fb6b788ee3810680f7775,59152
5941c03788ee3829c45a86de,77258
594be11888ee38743d67051b,58194
5965d3a888ee3839fc58d95e,95680
596ca1ecc751df20cc2b38df,47031
597eccba88ee38311a61fab2,74173
599edea6c751df7a5facad0d,35126
59bf94cec751df629f10513d,12056
59d24989c751df58d4788268,92078
59d6526ac751df274a175d35,56098
59e05c6588ee386ef4f4f86d,56121
59e85cb688ee3871a5970106,42181
5a1d2901c751df5e50300f1c,56001
5a1d6373c751df4f4d7815e5,35013
5a1d64a3c751df51a9440eae,35013
5a1e73b0c751df0d9952bd2d,35236
5a1fde6d88ee384f0ff312b0,44128
5a2023c388ee383e1dea3b3f,44185
5a210bc888ee382bed1f31db,54395
5a2e875bc751df3b936f97fd,13085
5a2e87e9c751df3d66f77bbb,13085
5a2ea65288ee38555f6d9710,44069
5a3aca3888ee382cb72b1308,07339
5a44b6cfc751df63ae90c99c,82186
5a5cb495c751df2cdac7334e,56151
5a61b7a7c751df3fd36ac81a,92004
5a6b563188ee3823dab07bf8,82125
5a82b75a88ee3827fadf1afb,28134
5a85a54c88ee3853e71a7e06,34108
5a8e75da88ee384de0c27a0e,57672
5a95451688ee383b6e954100,97412
5a99c41dc751df24279dd7e8,53097
5aa132e5c751df418a74a529,91339
5aa79c9fc751df144f78f40c,56206
5ab12b6ec751df128414f914,29239
5ab24b9188ee385d43b29616,47201
5ab389f888ee387c11cd655c,83035
5ab505a688ee3873c2b33e6e,04049
5ab9e75188ee387964e77c2b,73008
5acf6523c751df75b10c3e4c,71270
5ad84e0dc751df40ecfc7884,30243
5ae1cc2588ee385be7b19c67,69288
5ae6eeac88ee387eb91e91e8,97415
5aec1fe488ee384cbcf3befe,21540
5aec4c3e88ee381426c8df86,12176
5af4502188ee3860cdf1e7d6,38248
5afd51bfc751df62ae0b80ff,92044
5b052e92c751df5010da9e87,79202
5b06810bc751df6e997fd802,39478
5b110a9788ee38208c6bc159,76552
5b17dbeb88ee3869a59ebdca,64024
5b1a788188ee3843648b36b6,35227
5b1e91b3c751df2840ab5ca5,35331
5b236d75c751df4eaa3a9b5e,35040
5b28f5b288ee38047e62143e,93064
5b326492c751df255f694244,77152
5b3494ef88ee382f8e126555,35277
5b39e30a88ee38056c569d48,16374
5b3ddb3488ee3819894581db,21617
5b518bb188ee3863608f3fac,59143
5b61b48b8b4c411a66f739b9,31584
5b62bc16634f411fece2ecc3,91692
5b646606634f413b59936c0f,92002
5b6d5ed7634f41620b1b92ad,57666
5b71455e8b4c41290a9c0450,77053
5b7531aa634f4129f5228ddc,33051
